lat,lng,comment
39.624,-78.385,
39.624,-78.385,
39.623,-78.385,
39.623,-78.384,
39.622,-78.384,
39.621,-78.384,
39.62,-78.383,
39.619,-78.382,
39.618,-78.381,
39.617,-78.379,
39.615,-78.377,
39.614,-78.375,
39.613,-78.375,
39.613,-78.374,
39.612,-78.373,
39.612,-78.373,
39.611,-78.373,
39.611,-78.373,
39.61,-78.373,
39.61,-78.374,
39.61,-78.374,
39.609,-78.375,
39.609,-78.376,
39.609,-78.376,
39.609,-78.378,
39.609,-78.378,
39.609,-78.379,
39.609,-78.38,
39.61,-78.381,
39.61,-78.382,
39.61,-78.383,
39.611,-78.384,
39.612,-78.387,
39.612,-78.389,
39.623,-78.413,
39.623,-78.414,
39.623,-78.414,
39.624,-78.417,
39.625,-78.42,
39.625,-78.421,
39.625,-78.423,
39.626,-78.424,
39.626,-78.424,
39.626,-78.424,
39.625,-78.425,
39.625,-78.427,
39.625,-78.429,
39.624,-78.43,
39.624,-78.431,
39.622,-78.433,
39.622,-78.434,
39.62,-78.435,
39.62,-78.435,
39.619,-78.435,
39.617,-78.434,
39.616,-78.434,
39.615,-78.433,
39.614,-78.433,
39.613,-78.432,
39.612,-78.431,
39.611,-78.43,
39.609,-78.428,
39.608,-78.427,
39.604,-78.424,
39.603,-78.422,
39.602,-78.42,
39.601,-78.419,
39.601,-78.418,
39.599,-78.417,
39.599,-78.416,
39.598,-78.415,
39.598,-78.414,
39.597,-78.413,
39.597,-78.412,
39.596,-78.41,
39.595,-78.408,
39.594,-78.406,
39.593,-78.403,
39.593,-78.402,
39.592,-78.401,
39.591,-78.399,
39.59,-78.398,
39.589,-78.397,
39.588,-78.396,
39.587,-78.396,
39.586,-78.396,
39.585,-78.396,
39.585,-78.396,
39.584,-78.397,
39.583,-78.397,
39.582,-78.399,
39.581,-78.4,
39.581,-78.401,
39.581,-78.402,
39.58,-78.404,
39.58,-78.405,
39.58,-78.406,
39.58,-78.407,
39.58,-78.408,
39.58,-78.41,
39.58,-78.413,
39.581,-78.415,
39.581,-78.416,
39.582,-78.417,
39.582,-78.418,
39.583,-78.419,
39.583,-78.42,
39.584,-78.421,
39.585,-78.422,
39.586,-78.423,
39.586,-78.424,
39.587,-78.425,
39.588,-78.426,
39.588,-78.428,
39.588,-78.429,
39.588,-78.43,
39.588,-78.43,
39.589,-78.431,
39.589,-78.431,
39.589,-78.433,
39.59,-78.434,
39.59,-78.436,
39.59,-78.437,
39.591,-78.438,
39.591,-78.439,
39.591,-78.44,
39.592,-78.441,
39.592,-78.442,
39.592,-78.442,
39.592,-78.444,
39.592,-78.445,
39.592,-78.445,
39.592,-78.445,
39.592,-78.447,
39.592,-78.448,
39.592,-78.45,
39.591,-78.451,
39.591,-78.452,
39.59,-78.454,
39.59,-78.455,
39.59,-78.455,
39.589,-78.457,
39.588,-78.457,
39.588,-78.458,
39.588,-78.458,
39.587,-78.458,
39.586,-78.459,
39.585,-78.459,
39.585,-78.459,
39.584,-78.459,
39.583,-78.459,
39.582,-78.459,
39.581,-78.459,
39.58,-78.459,
39.58,-78.459,
39.58,-78.459,
39.58,-78.459,
39.58,-78.459,
39.58,-78.458,
39.58,-78.458,
39.579,-78.458,
39.579,-78.458,
39.579,-78.459,
39.579,-78.459,
39.579,-78.459,
39.578,-78.458,
39.578,-78.458,
39.577,-78.457,
39.577,-78.457,
39.576,-78.457,
39.575,-78.456,
39.575,-78.456,
39.575,-78.456,
39.574,-78.456,
39.574,-78.455,
39.571,-78.452,
39.57,-78.451,
39.569,-78.45,
39.568,-78.448,
39.568,-78.447,
39.567,-78.446,
39.567,-78.446,
39.567,-78.446,
39.566,-78.446,
39.566,-78.445,
39.565,-78.444,
39.565,-78.444,
39.564,-78.443,
39.563,-78.441,
39.563,-78.441,
39.563,-78.439,
39.562,-78.439,
39.562,-78.438,
39.561,-78.437,
39.561,-78.437,
39.561,-78.437,
39.561,-78.436,
39.562,-78.436,
39.561,-78.435,
39.561,-78.434,
39.561,-78.433,
39.56,-78.432,
39.56,-78.431,
39.56,-78.431,
39.56,-78.43,
39.559,-78.43,
39.559,-78.429,
39.558,-78.429,
39.558,-78.428,
39.558,-78.427,
39.557,-78.427,
39.557,-78.426,
39.557,-78.426,
39.557,-78.426,
39.557,-78.426,
39.557,-78.426,
39.557,-78.426,
39.557,-78.426,
39.557,-78.425,
39.556,-78.424,
39.555,-78.423,
39.554,-78.423,
39.554,-78.422,
39.553,-78.422,
39.553,-78.422,
39.553,-78.421,
39.552,-78.421,
39.552,-78.421,
39.551,-78.42,
39.551,-78.42,
39.551,-78.419,
39.549,-78.418,
39.549,-78.418,
39.548,-78.418,
39.548,-78.418,
39.547,-78.419,
39.547,-78.419,
39.546,-78.42,
39.546,-78.421,
39.546,-78.421,
39.546,-78.421,
39.546,-78.422,
39.546,-78.423,
39.546,-78.423,
39.546,-78.424,
39.546,-78.425,
39.547,-78.426,
39.548,-78.427,
39.549,-78.427,
39.55,-78.428,
39.55,-78.428,
39.551,-78.429,
39.552,-78.429,
39.552,-78.429,
39.553,-78.43,
39.553,-78.431,
39.553,-78.431,
39.554,-78.433,
39.554,-78.434,
39.554,-78.434,
39.554,-78.435,
39.554,-78.436,
39.554,-78.436,
39.554,-78.436,
39.554,-78.436,
39.554,-78.437,
39.554,-78.438,
39.553,-78.439,
39.553,-78.439,
39.552,-78.44,
39.551,-78.44,
39.551,-78.44,
39.55,-78.44,
39.549,-78.439,
39.549,-78.439,
39.549,-78.439,
39.549,-78.438,
39.549,-78.438,
39.548,-78.437,
39.548,-78.437,
39.547,-78.437,
39.546,-78.436,
39.545,-78.436,
39.544,-78.436,
39.543,-78.435,
39.542,-78.435,
39.542,-78.435,
39.541,-78.436,
39.54,-78.436,
39.54,-78.436,
39.54,-78.437,
39.54,-78.437,
39.539,-78.437,
39.54,-78.438,
39.54,-78.439,
39.541,-78.44,
39.542,-78.441,
39.543,-78.442,
39.544,-78.443,
39.546,-78.444,
39.547,-78.445,
39.548,-78.446,
39.548,-78.446,
39.548,-78.446,
39.548,-78.446,
39.549,-78.447,
39.55,-78.448,
39.551,-78.45,
39.551,-78.451,
39.552,-78.452,
39.552,-78.453,
39.552,-78.455,
39.552,-78.456,
39.552,-78.457,
39.552,-78.458,
39.552,-78.458,
39.552,-78.458,
39.552,-78.459,
39.552,-78.46,
39.552,-78.461,
39.551,-78.462,
39.551,-78.462,
39.55,-78.462,
39.55,-78.463,
39.549,-78.463,
39.549,-78.463,
39.548,-78.463,
39.547,-78.462,
39.546,-78.462,
39.546,-78.461,
39.545,-78.46,
39.544,-78.459,
39.544,-78.458,
39.544,-78.456,
39.543,-78.454,
39.543,-78.454,
39.543,-78.454,
39.543,-78.452,
39.543,-78.452,
39.543,-78.451,
39.543,-78.45,
39.542,-78.449,
39.542,-78.449,
39.541,-78.449,
39.541,-78.449,
39.54,-78.449,
39.54,-78.449,
39.54,-78.45,
39.539,-78.45,
39.539,-78.451,
39.539,-78.452,
39.539,-78.454,
39.539,-78.456,
39.539,-78.456,
39.539,-78.456,
39.539,-78.457,
39.539,-78.458,
39.539,-78.459,
39.539,-78.46,
39.538,-78.46,
39.538,-78.461,
39.538,-78.462,
39.538,-78.462,
39.537,-78.462,
39.537,-78.463,
39.537,-78.463,
39.536,-78.463,
39.536,-78.464,
39.535,-78.464,
39.534,-78.464,
39.533,-78.464,
39.532,-78.463,
39.532,-78.463,
39.532,-78.463,
39.531,-78.463,
39.53,-78.462,
39.529,-78.462,
39.527,-78.462,
39.526,-78.462,
39.525,-78.462,
39.524,-78.462,
39.523,-78.462,
39.522,-78.463,
39.522,-78.463,
39.521,-78.464,
39.521,-78.465,
39.52,-78.465,
39.519,-78.466,
39.518,-78.468,
39.517,-78.469,
39.517,-78.471,
39.517,-78.472,
