USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24001000100	486756416	7820718	187.938	3.02	39.6365143	-78.5094487                                                                                                                                    
MD	24001000200	124508290	3080199	48.073	1.189	39.6123134	-78.7031037                                                                                                                                    
MD	24001000300	22375481	6295	8.639	0.002	39.7083615	-78.7433927                                                                                                                                         
MD	24001000400	9642967	61044	3.723	0.024	39.6844286	-78.7270903                                                                                                                                         
MD	24001000500	11451817	157506	4.422	0.061	39.6528952	-78.7289982                                                                                                                                       
MD	24001000600	4098568	70649	1.582	0.027	39.6409546	-78.7398353                                                                                                                                         
MD	24001000700	1844979	0	0.712	0.	39.6329587	-78.7526552                                                                                                                                                
MD	24001000800	3271526	408358	1.263	0.158	39.6288831	-78.7630037                                                                                                                                        
MD	24001001000	1178744	2863	0.455	0.001	39.6573521	-78.7674948                                                                                                                                          
MD	24001001100	780808	34137	0.301	0.013	39.6510064	-78.7722271                                                                                                                                          
MD	24001001200	7227220	224134	2.79	0.087	39.6561633	-78.7869416                                                                                                                                         
MD	24001001300	9705289	304110	3.747	0.117	39.6170751	-78.8129207                                                                                                                                        
MD	24001001401	38003978	11554	14.673	0.004	39.6430103	-78.8340667                                                                                                                                       
MD	24001001402	2972300	0	1.148	0.	39.6519409	-78.8099591                                                                                                                                                
MD	24001001502	23694514	95957	9.149	0.037	39.7021407	-78.7866065                                                                                                                                        
MD	24001001503	29886949	21106	11.539	0.008	39.7091742	-78.8684222                                                                                                                                       
MD	24001001600	19356623	17961	7.474	0.007	39.6898438	-78.9301097                                                                                                                                        
MD	24001001700	32778800	30412	12.656	0.012	39.6632838	-78.8720813                                                                                                                                       
MD	24001001800	9085419	5979	3.508	0.002	39.6570617	-78.9459687                                                                                                                                          
MD	24001001900	62596282	126344	24.169	0.049	39.6103055	-78.9322553                                                                                                                                      
MD	24001002000	69411008	1293954	26.8	0.5	39.5639618	-78.893989                                                                                                                                          
MD	24001002100	62499934	102115	24.131	0.039	39.5551967	-78.9860802                                                                                                                                      
MD	24001002200	60203800	1056376	23.245	0.408	39.4979089	-78.9860345                                                                                                                                     
MD	24003701101	7332046	1191219	2.831	0.46	38.9315963	-76.5756683                                                                                                                                        
MD	24003701102	5013100	1605166	1.936	0.62	38.9351084	-76.5513663                                                                                                                                        
MD	24003701200	14558654	7490689	5.621	2.892	38.9027195	-76.5155361                                                                                                                                      
MD	24003701300	101097581	0	39.034	0.	38.8895127	-76.6408659                                                                                                                                             
MD	24003701400	55124566	7874033	21.284	3.04	38.872325	-76.572429                                                                                                                                        
MD	24003702100	22552038	4706533	8.707	1.817	39.0477861	-76.5998868                                                                                                                                      
MD	24003702204	2523196	0	0.974	0.	38.9956842	-76.6908049                                                                                                                                                
MD	24003702205	4646349	0	1.794	0.	39.0084046	-76.6923063                                                                                                                                                
MD	24003702206	3573903	0	1.38	0.	39.0112904	-76.669753                                                                                                                                                  
MD	24003702208	4207283	0	1.624	0.	39.0316327	-76.6666917                                                                                                                                                
MD	24003702209	2176675	0	0.84	0.	39.0209496	-76.6838414                                                                                                                                                 
MD	24003702300	40671366	993113	15.703	0.383	38.9721265	-76.6535183                                                                                                                                      
